customUser:user_Id,date,cancel_order_clicked(eventcount),cancel_order_clicked(Duration),confirm_order_button(eventcount),confirm_order_button(Duration),coupon_applied_clicked(eventcount),coupon_applied_clicked(Duration),customer_carecall_clicked(eventcount),customer_carecall_clicked(Duration),home_page(eventcount),home_page(Duration),login(eventcount),login(Duration),login_screen_reached(eventcount),login_screen_reached(Duration),notification_dismiss(eventcount),notification_dismiss(Duration),notification_foreground(eventcount),notification_foreground(Duration),notification_open(eventcount),notification_open(Duration),notification_receive(eventcount),notification_receive(Duration),order_page(eventcount),order_page(Duration),order_search_clicked(eventcount),order_search_clicked(Duration),otp_screen_reached(eventcount),otp_screen_reached(Duration),product_category_clicked(eventcount),product_category_clicked(Duration),repeatorder_clicked(eventcount),repeatorder_clicked(Duration),reward_page(eventcount),reward_page(Duration),session_start(eventcount),session_start(Duration),track_page(eventcount),track_page(Duration),user_engagement(eventcount),user_engagement(Duration),Grand Total(eventcount),Grand Total(Duration)
100122192,2024-05-02,,,,,,,,,1,1.00E-06,1,0.852997,,,,,,,,,1,14.388001,,,,,,,,,,,,,,,1,768.802998,1,11.199002,5,7.95E+02
,2024-05-03,,,,,,,,,,,,,1,0.003001,,,,,,,1,0,,,,,1,1.00E-06,,,,,,,1,0,,,1,3.850001,5,3.853003
100160846,2024-04-17,,,1,0.001001,,,,,1,0.001001,1,2.006991,1,0.018001,,,1,0.004001,,,1,14.6095015,,,,,1,0.001001,,,,,,,1,0,1,82.7355025,1,96.6750025,10,196.0520025
100405016,2024-04-18,,,1,0.002001,,,,,,,1,0.894998,,,,,1,0.002001,,,1,668.3179985,,,,,,,,,,,,,1,0,1,3.629001,1,52.6625025,7,725.508502
,2024-04-19,,,,,,,,,,,,,1,0.017001,,,,,,,,,,,,,1,1.00E-06,,,,,,,1,0,,,1,6.347001,4,6.364003
,2024-05-10,,,1,1.00E-06,,,,,,,1,2.008962,1,0.016001,,,1,0.003001,,,1,90.413003,,,,,1,1.00E-06,,,,,,,,,1,3.715004,1,27.560004,8,1.24E+02
100412287,2024-03-06,,,1,0.001001,,,,,1,0.003002,1,0.739989,1,1.651028,,,1,0.006002,,,1,401.078003,,,,,1,1.00E-06,1,5.027001,,,,,,,1,125.85401,1,326.80901,10,861.169047
100428671,2024-05-06,,,1,0.001001,,,,,,,1,2.009991,1,0.008001,,,1,0.003001,,,1,898.346493,,,,,1,0.001001,,,,,,,1,0,1,1.438501,1,281.0190003,9,1182.826989
100448405,2024-03-29,,,1,0.001001,,,,,,,1,1.064979,1,0.043003,1,55.925001,1,0.007001,,,1,31.163002,,,,,1,0.007004,,,,,,,1,0,,,1,58.2740025,9,146.4849935
100494415,2024-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,1,6.673002,2,6.673002
,2024-02-26,,,,,,,,,,,,,1,0.036002,,,,,,,,,,,,,1,0.027004,1,23.372006,,,,,1,0,,,1,111.488001,5,134.923013
100526122,2024-05-04,,,1,0.002001,1,10.657501,,,1,0.004001,1,2.007485,,,1,0,1,0.006001,,,1,937.5644905,1,0.003001,,,,,,,,,,,1,0,1,39.9232014,1,50.7607994,11,1040.928481
,2024-05-05,,,,,,,,,,,,,1,0.008001,,,,,,,1,86473.572,,,,,1,0.001001,,,,,,,1,0,,,1,27.762001,5,86501.343
100559506,2024-04-27,,,1,0.001001,,,,,1,0.000501,1,2.003993,1,0.014001,,,1,0.003001,,,1,15.1680015,,,,,1,0.002002,,,,,,,1,0,1,324.9175025,1,34.8700025,10,376.9800055
100770951,2024-03-19,,,1,1.00E-06,,,,,1,0.001001,1,2.012984,1,0.013001,,,1,0.002001,,,1,936.079003,,,,,1,0.001001,,,,,,,,,1,877.154004,1,106.495998,9,1.92E+03
,2024-04-09,,,1,0.001001,,,,,,,1,0.789989,1,0.016001,,,1,0.003001,,,1,1456.909003,,,,,1,1.00E-06,,,,,,,1,0,1,3.726002,1,29.1800015,9,1490.625
,2024-04-18,,,1,0.002001,,,,,1,0.012001,1,2.010989,1,0.014001,,,1,0.003001,,,1,47.617975,,,,,1,0.002001,,,,,1,1.00E-06,,,1,234.168005,1,185.483009,10,469.312984
,2024-05-05,,,1,0.001001,,,,,,,1,0.644988,1,0.014001,,,1,0.003001,,,1,3.685002,,,,,1,1.00E-06,,,,,,,,,1,1.00E-06,1,71.213002,8,75.560997
,2024-05-06,,,1,0.001001,,,,,1,0.006002,1,0.879988,1,0.014001,,,1,0.004001,,,1,18.278002,,,,,1,0.002001,,,,,,,,,1,352.852006,1,74.545003,9,446.582005
100898548,2024-04-09,,,,,,,,,1,1.00E-06,1,2.003987,1,0.002001,1,3.029001,,,,,1,948.053998,,,,,1,0.001001,,,,,,,1,0,1,8.4505015,1,2.302501,9,9.64E+02
100971147,2024-03-21,,,1,1.00E-06,,,,,,,1,0.929989,1,0.054001,1,6.348001,1,0.010001,,,1,687.520982,,,,,1,1.00E-06,,,,,,,1,0,1,1.00E-06,1,5.013001,10,7.00E+02
,2024-05-06,,,1,0.002001,,,,,1,0.001001,1,0.873989,1,0.015001,,,,,,,1,1643.928971,,,,,1,1.00E-06,,,,,,,1,0,1,5.163502,1,8.091002,9,1658.075468
100991764,2024-04-20,,,1,1.00E-06,,,,,,,1,0.896998,1,0.003002,1,9.155001,1,0.007001,,,1,248.5950015,,,,,1,0.001001,,,,,,,1,0,1,0.723001,1,28.23725175,10,2.88E+02
101002795,2024-02-26,,,1,1.00E-06,,,,,1,0.00601,1,2.006982,1,0.103004,,,1,0.008002,,,1,40.561003,,,,,,,,,,,,,,,1,879.628994,1,270.108013,8,1.19E+03
,2024-02-27,,,,,,,,,,,,,1,0.009001,,,,,,,,,,,,,1,1.00E-06,,,,,,,1,0,,,1,18.284002,4,18.293004
101003254,2024-03-07,,,,,,,,,,,1,0.543988,,,,,,,,,,,,,,,,,,,,,,,,,,,1,295.751002,2,296.29499
,2024-03-08,,,,,,,,,,,,,1,0.003001,,,,,,,,,,,,,1,1.00E-06,,,,,,,1,0,,,1,3.827001,4,3.830003
101021453,2024-04-01,,,1,0.001001,,,,,1,0.001002,1,0.088998,1,0.007001,1,3.394001,1,0.002001,,,1,115.122003,,,,,1,1.00E-06,,,,,,,,,1,990.773004,1,27.024004,10,1136.413016
101065595,2024-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,1,12.854001,2,12.854001
,2024-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,1,3.265001,2,3.265001
,2024-03-12,,,,,,,,,1,1.00E-06,,,1,0.007001,,,,,,,,,,,,,,,,,,,,,1,0,1,19.742004,1,5.796001,5,2.55E+01
,2024-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,1,60.885002,2,60.885002
101147120,2024-04-17,,,1,0.002001,,,,,,,1,2.008999,1,0.014001,,,1,0.004001,,,1,328.926003,,,,,1,0.003001,,,,,,,,,1,21.527001,1,333.584006,8,686.069013
101152015,2024-04-20,,,1,0.001001,,,,,,,1,0.413984,1,0.012001,,,1,0.004001,,,1,492.786003,,,,,1,0.001001,,,,,,,,,1,2.779002,1,100.719002,8,596.715995
101157311,2024-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,1,0
,2024-03-23,,,,,,,,,,,,,1,0.023002,,,,,,,,,,,,,1,0.001001,,,,,,,1,0,,,,,3,0.024003
101259853,2024-03-04,,,1,1.00E-06,,,,,1,0.001001,1,2.00499,1,0.021001,1,191.005001,1,0.005001,,,1,7.6620015,,,,,1,0.001001,,,,,,,1,0,1,2.842001,1,18.09199775,11,2.22E+02
,2024-04-19,,,1,0.002001,,,,,,,1,2.005991,1,0.003001,,,1,0.004001,,,1,113.716003,,,,,1,0.001001,,,,,,,,,1,32.985003,1,74.605004,8,223.322005
