NMD,Created On,Months,Status,Golden Rule,One Maestro,Root Cause,Closed Date,Date of Closure,Weeks,Days
NMD228936,02-01-2024,January,Closed,High risk situations,Risk management,Inadequate Housekeeping,13-02-2024,31-01-2024,2,13
NMD225617,02-01-2024,January,Closed,High risk situations,Risk management,Lack of retention trays,03-03-2024,07-03-2024,0,-4
NMD415614,04-01-2024,January,Closed,Personal Protective Equipments,Operational accountability,Improper supervisory,10-01-2024,05-01-2024,1,5
NMD452844,04-01-2024,January,Closed,Traffic,Operational accountability,Removal of signages and barricade from the work area,04-01-2024,04-01-2024,0,0
NMD59799,05-01-2024,January,Closed,High risk situations,Operational accountability,Inadequate Housekeeping,05-02-2024,31-01-2024,1,5
NMD538618,04-01-2024,January,Closed,Personal Protective Equipments,Contractors and suppliers,Workers were not having understanding on usage of proper PPEs as per task ,10-01-2024,05-01-2024,1,5
NMD524837,05-01-2024,January,Closed,High risk situations,Operational accountability,Inadequate Housekeeping,13-02-2024,31-01-2024,2,13
NMD55492,05-01-2024,January, ,Work at Height,Others,Shaft side door opened for construction activities by the contractors.  ,03-03-2024,13-01-2024,8,50
NMD649216,06-01-2024,January,Closed,Powered Systems,Operational accountability,Poor Monitoring ,12-01-2024,30-04-2024,-15,-109
NMD614587,06-01-2024,January,Task Approval,Line of Fire,Risk management,Poor supervision ,19-02-2024,09-01-2024,6,41
NMD84796,08-01-2024,January,Closed,High risk situations,Operational accountability,Inadequate illumination ,13-01-2024,31-01-2024,-2,-18
NMD1031469,10-01-2024,January,Task Approval,Traffic,Operational accountability,Traffic plan not followed,10-01-2024,11-01-2024,0,-1
NMD1040151,10-01-2024,January,Closed,Line of Fire,Operational accountability,Inadequate storage of materials,05-02-2024,31-01-2024,1,5
NMD1010705,10-01-2024,January,Closed,High risk situations,Operational accountability,Inadequate management of stacked materials,05-02-2024,31-01-2024,1,5
NMD1018999,10-01-2024,January,Closed,High risk situations,Operational accountability,Inadequate Housekeeping,05-02-2024,23-01-2024,2,13
NMD106475,10-01-2024,January,Assigned,Powered Systems,Operational accountability,Inadequate storage of chemicals,05-02-2024,31-01-2024,1,5
NMD1025523,10-01-2024,January,Task Approval,Traffic,Others,other,24-02-2024,11-01-2024,7,44
NMD1155371,11-01-2024,January,Closed,Others,Others,Inadequate Process management,08-02-2024,31-01-2024,2,8
NMD1117163,11-01-2024,January,Closed,Others,Others,Inadequate housekeeping,05-02-2024,23-01-2024,2,13
NMD1123206,11-01-2024,January,Task Approval,Traffic,Operational accountability,To be checked,04-03-2024,24-01-2024,6,40
NMD125531,11-01-2024,January,Task Approval,Powered Systems,Monitoring audit and inspections,Grass cutting Schedule not available,17-02-2024,09-02-2024,2,8
NMD1227165,11-01-2024,January,Task Approval,Others,Operational accountability,Lack of supervision,24-02-2024,09-02-2024,3,15
NMD1225868,12-01-2024,January,Assigned,High risk situations,Operational accountability,Inadequate management of assets ,05-02-2024,22-01-2024,2,14
NMD1344381,13-01-2024,January,Closed,Others,Performace improvement,Inadequate material management,13-02-2024,23-01-2024,3,21
NMD135305,13-01-2024,January,Closed,High risk situations,Operational accountability,Inadequate inspection,02-02-2024,17-01-2024,3,16
NMD1357615,13-01-2024,January,Closed,High risk situations,Operational accountability,Inadequate procedural implementation,22-01-2024,13-01-2024,2,9
NMD1346145,13-01-2024,January,Closed,Body Mechanics & Tools,Operational accountability,Inadequate material handling,05-02-2024,13-01-2024,4,23
NMD1555831,15-01-2024,January,Closed,High risk situations,Operational accountability,Inadequate Maintenance,05-02-2024,31-01-2024,1,5
NMD1649829,16-01-2024,January,Closed,High risk situations,Risk management,lack in procedure implementation,22-01-2024,22-01-2024,0,0
NMD1751831,17-01-2024,January,Closed,Body Mechanics & Tools,Operational accountability,Defective product,22-01-2024,23-01-2024,0,-1
NMD1913660,19-01-2024,January,Task Approval,Others,"Management,leadership and commitment",Poor maintenance.,04-03-2024,31-01-2024,5,33
